hnid,school,field_of_study,year
FloFincke,"University of California, Berkeley",Information Systems,2018
Florian_Raetzer,University of Bath,Management,2017
Folcon,University of Oxford,Computer Science,2012
ForcyteBio,"University of California, Los Angeles",Bioengineering,2017
FranciscaN,Pontificia Universidad Catolica de Chile,Business Economics And Management,2016
FredParietti,Alta Scuola Politecnica,Robotics,2010
FredParietti,Massachusetts Institute of Technology,Mechanical Engineering,2016
FredParietti,Politecnico di Milano,Mechanical Engineering,2008
G2H,ESAI Shanghai,Business In Asia,2011
G2H,ESSCA Ecole de management,Corporate Finance,2012
Gabriel123,The University of British Columbia,Cell Biology And Biochemistry,2013
Gabriel123,"University of California, Berkeley",Synthetic Biology,2015
Gabriel_h,University Of Warwick,Computer Science,2016
Gabv105,Universidad Nacional Autonoma de Mexico,Medicine,2016
Gabv105,Universidad Nacional Autonoma de Mexico,Neuroscience,2019
Gabv105,University of Groningen,Neuroscience,2013
GalKlm,Tel Aviv University,Computer Science And Economics,2017
Gal_Aharon,The Interdisciplinary Center,Communication And Media Studies,2014
Gamerpay_mhs,Aarhus University,Computational Finance,2011
GarrettBeck,"University of California, Berkeley",Legal Studies,2010
GarvanD,Western University,Software Engineering,2021
Gaspard2lacroix,HEC Paris,Business And Management,2019
Gaspard2lacroix,"University of California, Berkeley",Graduate Student,2019
Gaussian,Northwestern University,Journalism,2003
Gaussian,University of Illinois Urbana-Champaign,Civil Engineering,1999
Gbox4,Harvey Mudd College,Computer Science,2022
GeoffNN,Ecole polytechnique,Mathematics And Computer Science,2017
GeoffNN,"University of California, Berkeley",Electrical Engineering And Computer Science,2023
GeoffNN,École Normale Supérieure Paris-Saclay,"Machine Learning, Computer Vision",2017
GeorgettePkg,McGill University,Mechanical Engineering,2007
GeorgettePkg,Richard Ivey School of Business,Entrepreneurial Studies,2013
GeorgyM,Orel State Technical University (OrelSTU),Transportation Engineering,2011
GeorgyM,State Engineering University of Armenia,Transportation And Logistics,2006
Geromaspero,ITBA,Software Engineering,2021
Getjoe,CPA,Accounting,2019
Getjoe,INES EXPERTISE,Accounting,2012
Gila_Hayat,Y Combinator,W21,2021
GimBooks,Alliance University,Marketing,2011
GimBooks,Symbiosis centre for management studies,Marketing,2009
Giulio_GC,Alta Scuola Politecnica,Innovation,2018
Giulio_GC,Politecnico di Milano,Management Engineering,2018
Giulio_GC,University of Bologna,Management Engineering,2016
Gladysadjei,Southern Methodist University,Engineering,2022
Gladysadjei,The University of Texas at Dallas,Engineering,2017
Goldpiggy,"University of California, Berkeley",Machine Learning,2019
Goldpiggy,University of Waterloo,Double Financial Engineering And Statistics,2017
GregVol,Carnegie Mellon University,Behavioral Economics,2020
Grif_Thev,ESSEC Business School,Corporate Finance And Strategy,2017
Grif_Thev,Lycée Janson de Sailly,"Mathematics, Economy And Geopolitics",2013
Grif_Thev,"University of California, Berkeley",Sillicon Valley Innovation And Entrepreneurship Program,2017
Grif_Thev,"University of California, Berkeley",Uc Berkeley Institute Of Transportation Studies,2018
Grinteq,Belarusian State University,International Private Law,2016
Grinteq,Y Combinator,Startup And Entrepreneurship,2023
Guichard,Bentley University,Economics And Finance Amd International Studies,2009
Guichard,Northeastern University D’Amore,Master Of Business Administration,2014
Guichard,Northeastern University School of Law,Law,2014
GuiloLa,Polytech' Nantes,Computer Science,2011
GuoAaron,University of Chicago,Economics,2020
HFrank,Maastricht University,International Business,2010
HKjellby,Universitetet i Bergen,Law,2012
Hadjimina,ETH Zurich,Computer Science,2018
Hadjimina,ETH Zurich,"Master Management, Technology, And Economics",2022
Hadjimina,"University of California, Berkeley",Nlp And Explainable Ai In Moral Judgment,2022
Halim-Rafi,University of Dhaka,Applied Mathematics,2023
Hamedfesharaki,"university of dublin, trinity college",Dentistry,2012
HammadB,"University of California, Berkeley",Electrical Engineering And Computer Sciences,2016
HankelBao,University of Wisconsin - Madison,Computer Science And Data Science,2023
HannaMarie,Copenhagen Business School,Sustainable Business/ Entrepreneurial Economics,2011
HannaMarie,LUISS Guido Carli University,Economics,2015
HannaMarie,Technical University Berlin,Industrial Engineering,2015
Hansenq,Princeton University,Computer Science,2016
Harj,University of Oxford,Jurisprudence,2006
HarryAutone,City of London School,"A*, A*, A*, Kc Shasha Economics Prize",2014
HarryAutone,General Assembly,Data Science,2017
HarryAutone,London School of Economics and Political Science,Bsc Accounting And Finance,2015
HeatherBrundage,Massachusetts Institute of Technology,"Mechanical/ocean Engineering, Design, Entrepreneurship",2010
HeatherBrundage,Massachusetts Institute of Technology,Ocean Engineering,2006
Heff,Azusa Pacific University,Business,2008
Heff,Azusa Pacific University,Web And Information Technology,2003
Heff,Bruce Clay Inc.,Search Engine Optimization,2007
Heff,Omniture University,Omniture Certified Professional: Sitecatalyst And Implementation,2007
HelpWear,Massachusetts Institute of Technology,Entrepreneurship/entrepreneurial Studies,2016
HelpWear,University of Waterloo,Systems Design Engineering,2021
Hendrik_VH,KU Leuven,Computer Science,2022
Hendrik_VH,KU Leuven,Data Science And Finance,2021
Hendrik_VH,KU Leuven,Science Focused,2019
Hendrixer,Embry Riddle Aeronautical University,Professional Aeronautics,2011
Hendrixer,Hack Reactor,Computer Software Engineering,2014
Henn,University College London,Computer Science,2012
Henn,University College London,Computer Vision And Computer Graphics,2018
Henn,University of Leeds,New Media,2011
Herminator123,CDTM,Product Development,2019
Herminator123,King's College London,Economics,2018
Herminator123,Ludwig Maximilian University of Munich,Management,2020
Herminator123,"University of California, Berkeley",School Of Information,2019
HorizonXP,Gordon Graydon Memorial Secondary School,High School,2003
HorizonXP,University of Toronto,Medical Biophysics,2012
HorizonXP,University of Waterloo,Electrical Engineering W/ Options In Computer Engineering And Management Sciences,2008
Huszo,Jonkoping University,Engineering/industrial Management,2016
Hykso,University of Toronto,Mechanical And Industrial Engineering,2013
Hykso,Université Laval / Laval University,Mechanical Engineering,2011
IamGuru,Sharda University,Biotechnology,2013
IamGuru,University of Delaware,Biotechnology,2015
Ian_Paul,Franklin W. Olin College of Engineering,Engineering,2019
Ian_Paul,Newton South High School,General Studies,2015
IdoFishbain,Technion - Israel Institute of Technology,Math And Computer Science,2021
IfeanyiOkonkwo,University of Benin,Bsc,2003
IgnacioJ,INSA Lyon - Institut National des Sciences Appliquées de Lyon,Engineering/industrial Management,2015
IgnacioJ,Universitat Politècnica de Catalunya,Industrial Engineering,2012
IgnacioJ,Universitat Politècnica de Catalunya,Management Engineering,2017
IgnacioJ,iaelyon School of Management,Business Administration And Management,2017
ImpactO,University of Benin,Electronics And Communications Engineering,2015
Inchull,Georgia Tech,Bs,2005
Inchull,Georgia Tech,Management Of Technology,2011
InsightX,Stanford University,Human Biology,2009
Intelline,University of Waterloo,Mechanical Engineering,2020
InternetofJim,Carnegie Mellon University,Electrical And Computer Engineering,1996
InternetofJim,Massachusetts Institute of Technology,Aeronautical And Astronautical Engineering,1989
IraSpector,Drexel University,Marketing And Finance,1983
IraSpector,"University of Medicine & Dentistry of NJ (UMDNJ, now Rutgers University)",Clinical Health Sciences,2013
IraSpector,"Washington University, St. Louis",Electrical Engineering,1978
Ishaank1999,"University of California, Los Angeles",Statistics,2022
IshanGoyal,"University of California, San Diego",Bioinformatics,2018
IsmaelBelghiti,ENS,Mention Très Bien,2012
IsmaelBelghiti,Ecole normale supérieure,Informatique,2014
Itay_Forer,City University of New York,Management,2014
JBullock252,Columbia University,Computer Science,2017
JCassidy,Ludwig Maximilian University of Munich,Stem Cell Biology,2013
JCassidy,The University of Glasgow,Pharmacology,2014
JCassidy,University of Cambridge,Molecular Genetics,2017
JCassidy,University of Glasgow,The Role Of Technology In Innovation,2013
JCassidy,University of Oxford,Blockchain Strategy,2018
JCassidy,Weizmann Institute of Science,Oncology And Cancer Biology,2017
JNgoi,Jomo Kenyatta University of Agriculture and Technology (JKUAT),Molecular Biology,2012
JNgoi,Kenyatta university,Biotechnology,2007
JRM,University of Akron,Computer Science,2004
JSungu,New York University,Economics,2013
JaChec123,Columbia Business School,Mba,2010
Jack_Orbio,Imperial College London,Environmental Technology,2020
Jack_Orbio,University of Leeds,History,2016
Jackfomeara,"National University of Ireland, Galway",Engineering,2015
Jackfomeara,University of Notre Dame,Engineering And Science,2016
JacobHess,Community College of the Air Force,Electronic Systems Technology,2006
JacobHess,Community College of the Air Force,Instructor Of Technology And Military Science,2007
JacobHess,Grantham University,Information Systems,2005
Jacq03,University of Glasgow,Software Development,2022
Jacq03,University of Oxford - Said Business School,Strategic Management,2023
Jadenpereira,University of Waterloo,Honours Biology,2020
JakeVacovec,Middlebury College,Economics,2015
James_Bowers,Oxford Brookes University,Computer Science,2018
James_SmartSite,Royal College of Art,Innovation Design Engineering,2016
James_SmartSite,University of Oxford,Engineering,2011
Jamiphy,University of Wisconsin-Madison,Engineering,2016
Jaroca124,Tufts University,Engineering Psychology,2017
Jarrenreid,Stanford University,Comp Sci,2024
Jasminhume,Chalmers University of Technology,Materials Engineering,2008
Jasminhume,McGill University,Chemical Engineering,2006
Jasminhume,New York University,Materials Chemistry,2015
JasonGoodison,University of Waterloo,Computer Science,2019
JavierAntoran,University of Cambridge,Machine Learning,2019
JavierAntoran,University of Cambridge,Probabilistic Machine Learning,2023
JavierAntoran,"University of Zaragoza, Spain",Telecommunications Engineering,2018
Jaxkr,University of Colorado Boulder,Computer Science,2021
JayRauhala,Aalto University,Energy,2017
JenPhD,Claflin University,Biochemistry,2011
JenPhD,Tufts University School of Medicine,Pharmacology And Experimental Therapeutics,2016
Jennifferre,Fresno City College,Registered Nursing/registered Nurse,2012
Jennifferre,The University of Texas at Arlington,Registered Nursing/registered Nurse,2018
JeremyPOsborne,University of New South Wales,Renewable Energy,2010
JeremySchneck,"The Wharton School, University of Pennsylvania",Economics,2015
JeromeBilliet,KU Leuven,Business Engineering,2020
JeromeBilliet,London Business School,Financial Analysis,2021
JeromeBilliet,"The Wharton School, University of Pennsylvania",Finance,2019
JessOpearlo,University of Bristol,Chemistry And Spanish,2011
Jessee98,Washington and Lee University,Business Administration,2020
Jessieyoung,Johns Hopkins University,Electrical And Computer Engineering,2011
JoakimBruchmann,Columbia University,Finance,2015
JoakimBruchmann,University of Copenhagen,Economics And Finance,2016
JoanneWang99,New York University - Leonard N. Stern School of Business,Computing And Data Science And Finance,2024
JoeH,University of Alaska Fairbanks,"Electrionics Engineering, Computer Science",1990
JoelSercel,California Institute of Technology,Physics And Aerospace Engineering,1985
JohannesJJ,University of Oxford,Development Economics,2015
JohannesJJ,University of Oxford,"Philosophy, Politics And Economics",2014
JohannesVrmnds,Stanford University,A+ Achievement Camp,2006
JohannesVrmnds,University of the Arts London,Contemporary Art And Art History,2012
JohannesVrmnds,Östra Reals Gymnasium,Liberal Arts And Sciences/liberal Studies,2009
JohnAndrz,Georgetown University,"Physics, Economics",2025
JohnFriel,School of the Art Institute of Chicago,Fine Art,2008
JohnGoertz,Seattle University,Cell/cellular And Molecular Biology,2013
JohnGoertz,University Of Maryland,Bioengineering,2018
JohnMindee,Ecole polytechnique,Entrepreneuriat / Innovations Technologiques,2015
JohnMindee,Lycée Léonce Vieljeux,Admission École Polytechnique,2011
JohnMindee,"University of California, Berkeley",Entrepreneurship / Innovation,2015
JonahSinick,App Academy,Web Programming,2014
JonahSinick,Swarthmore College,Mathematics,2007
JonahSinick,University of Illinois,Mathematics,2011
JongsooKeum,Gwangju institute of science and technology,Computer Science,2017
JongsooKeum,Gwangju institute of science and technology,Electrical Engineering And Computer Sciences,2015
Joschkabraun,New York University,Mathematics,2020
Joschkabraun,Technische Universität Darmstadt,Mathematics With Minor In Computer Science,2017
JosefHyLight,INSA Lyon - Institut National des Sciences Appliquées de Lyon,General Engineering,2019
JosefHyLight,INSA Lyon - Institut National des Sciences Appliquées de Lyon,Mechanical Engineering,2022
JosefHyLight,Université Claude Bernard Lyon 1,General Engineering,2018
